author,start,end,category
Frantz Fanon,1925,1961,Philosophie sociale et politique XXe
Gilles Deleuze,1925,1995,Philosophie française XXe
Michael Dummett,1925,2011,Philosophie analytique
David Malet Armstrong,1926,2014,Philosophie analytique
Hilary Putnam,1926,2016,Philosophie analytique
Michel Foucault,1926,1984,Philosophie française XXe
Stanley Cavell,1926,2018,Philosophie XXe
Joel Feinberg,1926,2004,Philosophie sociale et politique XXe
Edmund Gettier,1927,2021,Philosophie analytique
Nicholas Rescher,1928,,Philosophie analytique
Alasdair MacIntyre,1929,,Philosophie morale XXe
Bernard Williams,1929,2003,Philosophie analytique
Harry Frankfurt,1929,,Philosophie analytique
Jaakko Hintikka,1929,2015,Philosophie analytique
Jean Baudrillard,1929,2007,Philosophie française XXe
Jürgen Habermas,1929,,Philosophie sociale et politique XXe
Judith Jarvis Thomson,1929,,Philosophie morale XXe
Félix Guattari,1930,1992,Philosophie française XXe
Jacques Derrida,1930,2004,Philosophie française XXe
Pierre Bourdieu,1930,2002,Philosophie française XXe
Jonathan Bennett,1930,,Philosophie analytique
Nuel Belnap,1930,,Philosophie analytique
Charles Taylor,1931,,Philosophie sociale et politique XXe
Guy Debord,1931,1994,Philosophie française XXe
Richard Rorty,1931,2007,Philosophie XXe
Ronald Dworkin,1931,2013,Philosophie du droit
Sydney Shoemaker,1931,,Philosophie analytique
Anthony Kenny,1931,,Philosophie analytique
Alvin Plantinga,1932,,Philosophie analytique
John Searle,1932,,Philosophie analytique
Fred Dretske,1932,2013,Philosophie analytique
Amartya Sen,1933,,Philosophie sociale et politique XXe
Ruth Millikan,1933,,Philosophie analytique
David Kaplan,1933,,Philosophie analytique
David Wiggins,1933,,Philosophie analytique
Audre Lorde,1934,1992,Philosophie sociale et politique XXe
Don Ihde,1934,,Philosophie XXe
Richard Swinburne,1934,,Philosophie analytique
Jaegwon Kim,1934,2019,Philosophie analytique
Richard Sorabji,1934,,Philosophie analytique
Michael Walzer,1935,,Philosophie sociale et politique XXe
Jerry Fodor,1935,2017,Philosophie analytique
Monique Wittig,1935,2003,Philosophie sociale et politique XXe
Carol Gilligan,1936,,Philosophie morale XXe
Ian Hacking,1936,,Philosophie analytique
Brian Barry,1936,2009,Philosophie analytique
Keith Lehrer,1936,,Philosophie analytique
Alain Badiou,1937,,Philosophie française XXe
Cora Diamond,1937,,Philosophie analytique
Thomas Nagel,1937,,Philosophie analytique
Robert Merrihew Adams,1937,,Philosophie analytique
Robert Nozick,1938,2002,Philosophie sociale et politique XXe
Tom Regan,1938,2017,Philosophie morale XXe
Gilbert Harman,1938,,Philosophie analytique
Alvin Goldman,1938,,Philosophie analytique
Brian Skyrms,1938,,Philosophie analytique
Robert Kane,1938,,Philosophie analytique
Joseph Raz,1939,,Philosophie sociale et politique XXe
Terence Parsons,1939,,Philosophie analytique
Ernest Sosa,1940,,Philosophie analytique
Jacques Bouveresse,1940,2021,Philosophie analytique
Jacques Rancière,1940,,Philosophie française XXe
John Finnis,1940,,Philosophie du droit
Saul Kripke,1940,,Philosophie analytique
Thomas Michael Scanlon,1940,,Philosophie analytique
Robert Stalnaker,1940,,Philosophie analytique
John L. Pollock,1940,2009,Philosophie analytique
Jon Elster,1940,,Philosophie analytique
Michael Slote,1941,,Philosophie analytique
Gerald Allan Cohen,1941,2009,Philosophie analytique
Robert Audi,1941,,Philosophie analytique
Bas van Fraassen,1941,,Philosophie analytique
David K. Lewis,1941,2001,Philosophie analytique
Robert Audi,1941,,Philosophie analytique
James F. Woodward,1941,,Philosophie analytique
Crispin Wright,1942,,Philosophie analytique
Daniel Dennett,1942,,Philosophie analytique
Derek Parfit,1942,2017,Philosophie analytique
Étienne Balibar,1942,,Philosophie française XXe
John McDowell,1942,,Philosophie analytique
Marie-José Mondzain,1942,,Philosophie française XXe
Ned Block,1942,,Philosophie analytique
Paul Churchland,1942,,Philosophie analytique
Peter K. Unger,1942,,Philosophie analytique
Peter van Inwagen,1942,,Philosophie analytique
Allan Gibbard,1942,,Philosophie analytique
John Earman,1942,,Philosophie analytique
Malcolm Schofield,1942,,Philosophie analytique
Frank Cameron Jackson,1943,,Philosophie analytique
Blandine Kriegel,1943,,Philosophie sociale et politique XXe
Charles Travis,1943,,Philosophie analytique
Laurence BonJour,1943,,Philosophie analytique
Patricia Churchland,1943,,Philosophie analytique
Stephen Stich,1943,,Philosophie analytique
John Perry,1943,,Philosophie analytique
John Burgess,1943,,Philosophie analytique
Angela Davis,1944,,Philosophie sociale et politique XXe
Nancy Cartwright,1944,,Philosophie analytique
Simon Blackburn,1944,,Philosophie analytique
Donna J. Haraway,1944,,Philosophie XXe
Susan Haack,1945,,Philosophie analytique
Philip Pettit,1945,,Philosophie analytique
William Lycan,1945,,Philosophie analytique
Scott Soames,1945,,Philosophie analytique
Kit Fine,1946,,Philosophie analytique
Gareth Evans,1946,1980,Philosophie analytique
Jean-Luc Marion,1946,,Philosophie française XXe
Jonathan Dancy,1946,,Philosophie analytique
Julia Annas,1946,,Philosophie XXe
Peter Singer,1946,,Philosophie morale XXe
Stephen Darwall,1946,,Philosophie morale XXe
