author,start,end,category
Susan Moller Okin,1946,2004,Philosophie sociale et politique XXe
Tyler Burge,1946,,Philosophie analytique
Hartry Field,1946,,Philosophie analytique
Linda Zagzebski,1946,,Philosophie analytique
Terence Irwin,1947,,Philosophie analytique
Martha Nussbaum,1947,,Philosophie morale XXe
Nancy Fraser,1947,,Philosophie sociale et politique XXe
Philip Kitcher,1947,,Philosophie analytique
Elliott Sober,1948,,Philosophie analytique
Terence Horgan,1948,,Philosophie analytique
Graham Priest,1948,,Philosophie analytique
Axel Honneth,1949,,Philosophie sociale et politique XXe
Iris Marion Young,1949,2006,Philosophie sociale et politique XXe
Ruwen Ogien,1949,2017,Philosophie analytique
William Lane Craig,1949,,Philosophie analytique
Robert Brandom,1950,,Philosophie analytique
Edward Jonathan Lowe,1950,2014,Philosophie analytique
Christopher Peacocke,1950,,Philosophie analytique
Colin McGinn,1950,,Philosophie analytique
Stewart Shapiro,1951,,Philosophie analytique
Susan R. Wolf,1952,,Philosophie analytique
Thomas Hurka,1952,,Philosophie analytique
Galen Strawson,1952,,Philosophie analytique
John Martin Fischer,1952,,Philosophie analytique
Peter Carruthers,1952,,Philosophie analytique
J. David Velleman,1952,,Philosophie morale XXe
bell hooks,1952,,Philosophie sociale et politique XXe
Christine Korsgaard,1952,,Philosophie morale XXe
François Recanati,1952,,Philosophie analytique
Peter Carruthers,1952,,Philosophie analytique
Edward N. Zalta,1952,,Philosophie analytique
Barry Smith,1952,,Philosophie analytique
Thomas Pogge,1953,,Philosophie analytique
Jeremy Waldron,1953,,Philosophie sociale et politique XXe
Michael Sandel,1953,,Philosophie sociale et politique XXe
Kwame Anthony Appiah,1954,,Philosophie sociale et politique XXe
Michael Andrew Smith,1954,,Philosophie analytique
Cass Sunstein,1954,,Philosophie analytique
Timothy Williamson,1955,,Philosophie analytique
Sally Haslanger,1955,,Philosophie analytique
Judith Butler,1956,,Philosophie sociale et politique XXe
Paul Boghossian,1957,,Philosophie analytique
Stephen Yablo,1957,,Philosophie analytique
Andy Clark,1957,,Philosophie analytique
Elizabeth S. Anderson,1959,,Philosophie analytique
Roger Crisp,1961,,Philosophie analytique
Tim Crane,1962,,Philosophie analytique
David DeGrazia,1962,,Philosophie morale XXe
Keith DeRose,1962,,Philosophie analytique
Will Kymlicka,1962,,Philosophie sociale et politique XXe
Gideon Rosen,1962,,Philosophie analytique
John Hawthorne,1964,,Philosophie analytique
Peter Godfrey-Smith,1965,,Philosophie analytique
David Chalmers,1966,,Philosophie analytique
Tommie Shelby,1967,,Philosophie sociale et politique XXe
Craig Callender,1968,,Philosophie analytique
Michael Huemer,1969,,Philosophie analytique
