author,start,end,category
Edmund Gettier,1927,2021,Philosophie analytique
Nicholas Rescher,1928,,Philosophie analytique
Alasdair MacIntyre,1929,,Philosophie morale XXe
Bernard Williams,1929,2003,Philosophie analytique
Harry Frankfurt,1929,,Philosophie analytique
Jaakko Hintikka,1929,2015,Philosophie analytique
Jean Baudrillard,1929,2007,Philosophie française XXe
Jürgen Habermas,1929,,Philosophie sociale et politique XXe
Judith Jarvis Thomson,1929,,Philosophie morale XXe
Félix Guattari,1930,1992,Philosophie française XXe
Jacques Derrida,1930,2004,Philosophie française XXe
Pierre Bourdieu,1930,2002,Philosophie française XXe
Jonathan Bennett,1930,,Philosophie analytique
Nuel Belnap,1930,,Philosophie analytique
